,href,Text content,layer3
0,/wiki/MediaWiki:Categorylockdown-error,MediaWiki:Categorylockdown-error,MediaWiki:Categorylockdown-error
1,/wiki/MediaWiki:Common.css,MediaWiki:Common.css,MediaWiki:Common.css
2,/wiki/MediaWiki:Copyright,MediaWiki:Copyright,MediaWiki:Copyright
3,/wiki/MediaWiki:Group-user.css,MediaWiki:Group-user.css,MediaWiki:Group-user.css
4,/wiki/MediaWiki:Licenses,MediaWiki:Licenses,MediaWiki:Licenses
5,/wiki/MediaWiki:Loginprompt,MediaWiki:Loginprompt,MediaWiki:Loginprompt
6,/wiki/MediaWiki:Loginreqpagetext,MediaWiki:Loginreqpagetext,MediaWiki:Loginreqpagetext
7,/wiki/MediaWiki:Mainpage,MediaWiki:Mainpage,MediaWiki:Mainpage
8,/wiki/MediaWiki:Permissionserrorstext-withaction,MediaWiki:Permissionserrorstext-withaction,MediaWiki:Permissionserrorstext-withaction
9,/wiki/MediaWiki:Requestaccount-acc-text,MediaWiki:Requestaccount-acc-text,MediaWiki:Requestaccount-acc-text
10,/wiki/MediaWiki:Requestaccount-ext-text,MediaWiki:Requestaccount-ext-text,MediaWiki:Requestaccount-ext-text
11,/wiki/MediaWiki:Requestaccount-text,MediaWiki:Requestaccount-text,MediaWiki:Requestaccount-text
12,/wiki/MediaWiki:Sidebar,MediaWiki:Sidebar,MediaWiki:Sidebar
13,/wiki/MediaWiki:Sitenotice,MediaWiki:Sitenotice,MediaWiki:Sitenotice
14,/wiki/MediaWiki:Timeless.css,MediaWiki:Timeless.css,MediaWiki:Timeless.css
15,/wiki/MediaWiki:Uploadtext,MediaWiki:Uploadtext,MediaWiki:Uploadtext
