,href,Text content,layer3
0,/wiki/C.K_Subramania_Mudaliar,C.K Subramania Mudaliar,C.K Subramania Mudaliar
1,/wiki/C.W._Thamotharampillai,C.W. Thamotharampillai,C.W. Thamotharampillai
2,/wiki/C._Arumugapillai,C. Arumugapillai,C. Arumugapillai
3,/wiki/C._Dakshinamoorthy,C. Dakshinamoorthy,C. Dakshinamoorthy
4,/wiki/C._Mani,C. Mani,C. Mani
5,/wiki/C._P._Chitrarasu,C. P. Chitrarasu,C. P. Chitrarasu
6,/wiki/C._Sivagnana_Sundaram,C. Sivagnana Sundaram,C. Sivagnana Sundaram
7,/wiki/C._Thirumalaiver_Kavirayar,C. Thirumalaiver Kavirayar,C. Thirumalaiver Kavirayar
8,/wiki/Chandilyan,Chandilyan,Chandilyan
9,/wiki/Chandira_Oli,Chandira Oli,Chandira Oli
10,/wiki/Charles_Mead,Charles Mead,Charles Mead
11,/wiki/Charles_Theophilus_Ewald_Rhenius,Charles Theophilus Ewald Rhenius,Charles Theophilus Ewald Rhenius
12,/wiki/Charu_Nivedita,Charu Nivedita,Charu Nivedita
13,/wiki/Chittoor_Subramaniam_Pillai,Chittoor Subramaniam Pillai,Chittoor Subramaniam Pillai
14,/wiki/Cho_Dharman,Cho Dharman,Cho Dharman
15,/wiki/Chocolate,Chocolate,Chocolate
16,/wiki/Choolai_Somasundara_Nayakar,Choolai Somasundara Nayakar,Choolai Somasundara Nayakar
17,/wiki/Clarinda_(Novel),Clarinda (Novel),Clarinda (Novel)
18,/wiki/Cuckoo_Movement,Cuckoo Movement,Cuckoo Movement
