,href,Text content,layer3
0,/wiki/G._Sarangapani,G. Sarangapani,G. Sarangapani
1,/wiki/Gajabahu_Synchronism,Gajabahu Synchronism,Gajabahu Synchronism
2,/wiki/Gajambhikai,Gajambhikai,Gajambhikai
3,/wiki/Ganapathy_Iyer,Ganapathy Iyer,Ganapathy Iyer
4,/wiki/Gandhi_(Magazine),Gandhi (Magazine),Gandhi (Magazine)
5,/wiki/Gandhimathi_(novel),Gandhimathi (novel),Gandhimathi (novel)
6,"/wiki/Ganesh,_Vasanth","Ganesh, Vasanth","Ganesh, Vasanth"
7,/wiki/Gangaikonda_Chozhan,Gangaikonda Chozhan,Gangaikonda Chozhan
8,/wiki/Gangapuram_Palaniyammal,Gangapuram Palaniyammal,Gangapuram Palaniyammal
9,/wiki/Geetha_Mathivanan,Geetha Mathivanan,Geetha Mathivanan
10,/wiki/Geethari_(Novel),Geethari (Novel),Geethari (Novel)
11,/wiki/Ghanam_Krishna_Iyer,Ghanam Krishna Iyer,Ghanam Krishna Iyer
12,/wiki/Gokul_Prasad,Gokul Prasad,Gokul Prasad
13,/wiki/Gopalakrishna_Bharathi,Gopalakrishna Bharathi,Gopalakrishna Bharathi
14,/wiki/Gowri,Gowri,Gowri
15,/wiki/Gowri_Ammal,Gowri Ammal,Gowri Ammal
16,/wiki/Grama_Uzhiyan_(Sittrithal),Grama Uzhiyan (Sittrithal),Grama Uzhiyan (Sittrithal)
17,/wiki/Gugappriai,Gugappriai,Gugappriai
