,href,Text content,layer3
0,/wiki/R._Chudamani,R. Chudamani,R. Chudamani
1,/wiki/R._Giridharan,R. Giridharan,R. Giridharan
2,/wiki/R._Ilankumaranar,R. Ilankumaranar,R. Ilankumaranar
3,/wiki/R._Kaliprasadh,R. Kaliprasadh,R. Kaliprasadh
4,/wiki/R._Ponnammal,R. Ponnammal,R. Ponnammal
5,/wiki/R._S._Rajalakshmi_Ammal,R. S. Rajalakshmi Ammal,R. S. Rajalakshmi Ammal
6,/wiki/R._Sarangapani,R. Sarangapani,R. Sarangapani
7,/wiki/R._Shanmugasundaram,R. Shanmugasundaram,R. Shanmugasundaram
8,/wiki/RV_(R._Venkatraman),RV (R. Venkatraman),RV (R. Venkatraman)
9,/wiki/Ra.Su._Nallaperumal,Ra.Su. Nallaperumal,Ra.Su. Nallaperumal
10,/wiki/Ra._Kaviyarasu,Ra. Kaviyarasu,Ra. Kaviyarasu
11,/wiki/Ra._Senthilkumar,Ra. Senthilkumar,Ra. Senthilkumar
12,/wiki/Rajendra_Cholan,Rajendra Cholan,Rajendra Cholan
13,/wiki/Rama_Kannabiran,Rama Kannabiran,Rama Kannabiran
14,/wiki/Rama_Kavi,Rama Kavi,Rama Kavi
15,/wiki/Ramalinga_Sattambiar,Ramalinga Sattambiar,Ramalinga Sattambiar
16,/wiki/Ramalinga_Vallalar,Ramalinga Vallalar,Ramalinga Vallalar
17,/wiki/Ramanataka_Kirthanai,Ramanataka Kirthanai,Ramanataka Kirthanai
18,/wiki/Ramasubramania_Navalar,Ramasubramania Navalar,Ramasubramania Navalar
19,/wiki/Rasadurai_(Novel),Rasadurai (Novel),Rasadurai (Novel)
20,/wiki/Rasappa_Mudaliar,Rasappa Mudaliar,Rasappa Mudaliar
21,/wiki/Ratchanya_Yathrigam,Ratchanya Yathrigam,Ratchanya Yathrigam
22,/wiki/Rathi,Rathi,Rathi
23,/wiki/Rauthar_Sahib_(Wali),Rauthar Sahib (Wali),Rauthar Sahib (Wali)
24,/wiki/Raya_Gopuram_(Madurai),Raya Gopuram (Madurai),Raya Gopuram (Madurai)
25,/wiki/Robert_Caldwell,Robert Caldwell,Robert Caldwell
26,/wiki/Roberto_de_Nobili,Roberto de Nobili,Roberto de Nobili
