,href,Text content,layer3
0,/wiki/%E0%AE%85._%E0%AE%85%E0%AE%B1%E0%AE%BF%E0%AE%B5%E0%AF%81%E0%AE%A8%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF,அ. அறிவுநம்பி,அ. அறிவுநம்பி
1,/wiki/%E0%AE%85._%E0%AE%95%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,அ. கந்தன்,அ. கந்தன்
2,/wiki/%E0%AE%85._%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D,அ. குமாரசுவாமிப் புலவர்,அ. குமாரசுவாமிப் புலவர்
3,/wiki/%E0%AE%85._%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%9A%E0%AF%87%E0%AE%95%E0%AE%B0_%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%A4%E0%AE%B0%E0%AF%8D,அ. சந்திரசேகர பண்டிதர்,அ. சந்திரசேகர பண்டிதர்
4,/wiki/%E0%AE%85._%E0%AE%9A%E0%AE%B0%E0%AE%B5%E0%AE%A3%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,அ. சரவணமுத்தன்,அ. சரவணமுத்தன்
5,/wiki/%E0%AE%85._%E0%AE%9A%E0%AE%B0%E0%AE%B5%E0%AE%A3%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,அ. சரவணமுத்துப்பிள்ளை,அ. சரவணமுத்துப்பிள்ளை
6,/wiki/%E0%AE%85._%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%A9%E0%AF%8D_%E0%AE%9A%E0%AF%86%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,அ. சிதம்பரநாதன் செட்டியார்,அ. சிதம்பரநாதன் செட்டியார்
7,/wiki/%E0%AE%85._%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%B0%E0%AF%8D,அ. சுவாமிநாதர்,அ. சுவாமிநாதர்
8,/wiki/%E0%AE%85._%E0%AE%9A%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AF%8D_(%E0%AE%89%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AE%9A%E0%AF%8B%E0%AE%B4%E0%AE%A9%E0%AF%8D),அ. செல்வராஜ் (உத்தமசோழன்),அ. செல்வராஜ் (உத்தமசோழன்)
9,/wiki/%E0%AE%85._%E0%AE%A8%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88%E0%AE%AF%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D,அ. நஞ்சையப் புலவர்,அ. நஞ்சையப் புலவர்
10,/wiki/%E0%AE%85._%E0%AE%A8%E0%AE%BE%E0%AE%95%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%A4%E0%AE%B0%E0%AF%8D,அ. நாகநாதபண்டிதர்,அ. நாகநாதபண்டிதர்
11,/wiki/%E0%AE%85._%E0%AE%A8%E0%AE%BE%E0%AE%95%E0%AE%AA%E0%AF%8D%E0%AE%AA_%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,அ. நாகப்ப முதலியார்,அ. நாகப்ப முதலியார்
12,/wiki/%E0%AE%85._%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%AE%E0%AE%A9%E0%AF%8B%E0%AE%95%E0%AE%B0%E0%AE%A9%E0%AF%8D,அ. பாலமனோகரன்,அ. பாலமனோகரன்
13,/wiki/%E0%AE%85._%E0%AE%AE%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AE%95%E0%AE%BE%E0%AE%9A%E0%AE%BF,அ. மருதகாசி,அ. மருதகாசி
14,/wiki/%E0%AE%85._%E0%AE%AE%E0%AE%BE%E0%AE%A4%E0%AE%B5%E0%AF%88%E0%AE%AF%E0%AE%BE,அ. மாதவையா,அ. மாதவையா
15,/wiki/%E0%AE%85._%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B2%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D,அ. முத்துலிங்கம்,அ. முத்துலிங்கம்
16,/wiki/%E0%AE%85._%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AE%B5%E0%AF%87%E0%AE%B3%E0%AF%8D,அ. முருகவேள்,அ. முருகவேள்
17,/wiki/%E0%AE%85._%E0%AE%AF%E0%AF%87%E0%AE%9A%E0%AF%81%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%BE,அ. யேசுராஜா,அ. யேசுராஜா
18,/wiki/%E0%AE%85._%E0%AE%B0%E0%AE%BE._%E0%AE%AE%E0%AE%BE%E0%AE%A4%E0%AE%B5%E0%AE%B0%E0%AE%BE%E0%AE%AF_%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,அ. ரா. மாதவராய முதலியார்,அ. ரா. மாதவராய முதலியார்
19,/wiki/%E0%AE%85._%E0%AE%B0%E0%AF%86%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF,அ. ரெங்கசாமி,அ. ரெங்கசாமி
20,/wiki/%E0%AE%85._%E0%AE%B5%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BF%E0%AE%B2%E0%AE%BE,அ. வெண்ணிலா,அ. வெண்ணிலா
21,/wiki/%E0%AE%85._%E0%AE%B5%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%AF%E0%AF%8D%E0%AE%AF%E0%AE%B0%E0%AF%8D,அ. வைத்தியநாதய்யர்,அ. வைத்தியநாதய்யர்
22,/wiki/%E0%AE%85.%E0%AE%85.%E0%AE%AE%E0%AE%A3%E0%AE%B5%E0%AE%BE%E0%AE%B3%E0%AE%A9%E0%AF%8D,அ.அ.மணவாளன்,அ.அ.மணவாளன்
23,/wiki/%E0%AE%85.%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AF%8D,அ.இராகவன்,அ.இராகவன்
24,/wiki/%E0%AE%85.%E0%AE%95._%E0%AE%A8%E0%AE%B5%E0%AE%A8%E0%AF%80%E0%AE%A4%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%A3%E0%AE%A9%E0%AF%8D,அ.க. நவநீதகிருட்டிணன்,அ.க. நவநீதகிருட்டிணன்
25,/wiki/%E0%AE%85.%E0%AE%95%E0%AE%BE._%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D,அ.கா. பெருமாள்,அ.கா. பெருமாள்
26,/wiki/%E0%AE%85.%E0%AE%95%E0%AE%BF._%E0%AE%AA%E0%AE%B0%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%AE%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,அ.கி. பரந்தாமனார்,அ.கி. பரந்தாமனார்
27,/wiki/%E0%AE%85.%E0%AE%9A.%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,அ.ச.ஞானசம்பந்தன்,அ.ச.ஞானசம்பந்தன்
28,/wiki/%E0%AE%85.%E0%AE%9A%E0%AF%80%E0%AE%A9%E0%AE%BF%E0%AE%B5%E0%AE%BE%E0%AE%9A%E0%AE%B0%E0%AE%BE%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AF%8D,அ.சீனிவாசராகவன்,அ.சீனிவாசராகவன்
