,href,Text content,layer3
0,/wiki/%E0%AE%86._%E0%AE%87%E0%AE%B0%E0%AE%BE._%E0%AE%B5%E0%AF%87%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%9F%E0%AE%BE%E0%AE%9A%E0%AE%B2%E0%AE%AA%E0%AE%A4%E0%AE%BF,ஆ. இரா. வேங்கடாசலபதி,ஆ. இரா. வேங்கடாசலபதி
1,/wiki/%E0%AE%86._%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AF%87%E0%AE%95%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஆ. கார்மேகக் கோனார்,ஆ. கார்மேகக் கோனார்
2,/wiki/%E0%AE%86._%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B5%E0%AF%87%E0%AE%B1%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ஆ. சத்திவேற்பிள்ளை,ஆ. சத்திவேற்பிள்ளை
3,/wiki/%E0%AE%86._%E0%AE%9A%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%B5%E0%AF%87%E0%AE%B2%E0%AF%81_%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஆ. சிங்காரவேலு முதலியார்,ஆ. சிங்காரவேலு முதலியார்
4,/wiki/%E0%AE%86._%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D,ஆ. சிவசுப்பிரமணியன்,ஆ. சிவசுப்பிரமணியன்
5,/wiki/%E0%AE%86._%E0%AE%AA%E0%AF%82%E0%AE%B5%E0%AE%B0%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ஆ. பூவராகம் பிள்ளை,ஆ. பூவராகம் பிள்ளை
6,/wiki/%E0%AE%86._%E0%AE%AE%E0%AE%BE%E0%AE%A4%E0%AE%B5%E0%AE%A9%E0%AF%8D,ஆ. மாதவன்,ஆ. மாதவன்
7,/wiki/%E0%AE%86._%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%A9%E0%AF%8D,ஆ. முத்துசிவன்,ஆ. முத்துசிவன்
8,/wiki/%E0%AE%86._%E0%AE%B5%E0%AF%87%E0%AE%B2%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ஆ. வேலுப்பிள்ளை,ஆ. வேலுப்பிள்ளை
9,/wiki/%E0%AE%86.%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ஆ.முத்துத்தம்பிப் பிள்ளை,ஆ.முத்துத்தம்பிப் பிள்ளை
10,/wiki/%E0%AE%86.%E0%AE%B0%E0%AE%BE.%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%A9%E0%AF%8D,ஆ.ரா.சிவகுமாரன்,ஆ.ரா.சிவகுமாரன்
11,/wiki/%E0%AE%86%E0%AE%9A%E0%AE%BE%E0%AE%B0%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AF%88,ஆசாரக்கோவை,ஆசாரக்கோவை
12,/wiki/%E0%AE%86%E0%AE%9A%E0%AE%BF_%E0%AE%95%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%BE,ஆசி கந்தராஜா,ஆசி கந்தராஜா
13,/wiki/%E0%AE%86%E0%AE%9A%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D,ஆசிரியன் பெருங்கண்ணன்,ஆசிரியன் பெருங்கண்ணன்
14,/wiki/%E0%AE%86%E0%AE%9A%E0%AF%80%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AE%BE%E0%AE%A4%E0%AE%AE%E0%AF%8D_%E0%AE%AE%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%A4%E0%AE%BE%E0%AE%B8%E0%AF%8D,ஆசீர்வாதம் மரியதாஸ்,ஆசீர்வாதம் மரியதாஸ்
15,/wiki/%E0%AE%86%E0%AE%9A%E0%AF%88,ஆசை,ஆசை
