,href,Text content,layer3
0,/wiki/%E0%AE%87._%E0%AE%A8%E0%AE%BE%E0%AE%95%E0%AF%87%E0%AE%9A%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D,இ. நாகேசையர்,இ. நாகேசையர்
1,/wiki/%E0%AE%87.%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%95%E0%AF%88%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%B0%E0%AF%8D_(%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF),இ.அம்பிகைபாகர் (அம்பி),இ.அம்பிகைபாகர் (அம்பி)
2,/wiki/%E0%AE%87.%E0%AE%AA%E0%AE%BF.%E0%AE%B9%E0%AF%87%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%B8%E0%AF%8D,இ.பி.ஹேஸ்டிங்ஸ்,இ.பி.ஹேஸ்டிங்ஸ்
3,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88_(%E0%AE%95%E0%AE%B5%E0%AE%BF%E0%AE%9E%E0%AE%B0%E0%AF%8D),இசை (கவிஞர்),இசை (கவிஞர்)
4,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,இசைஞானியார்,இசைஞானியார்
5,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D_%E0%AE%9A%E0%AF%86%E0%AE%AF%E0%AF%8D%E0%AE%AF%E0%AF%81%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%B1%E0%AF%88%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AF%88,இசைத்தமிழ் செய்யுட்டுறைக் கோவை,இசைத்தமிழ் செய்யுட்டுறைக் கோவை
6,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%A8%E0%AF%81%E0%AE%A3%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D,இசைநுணுக்கம்,இசைநுணுக்கம்
7,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AE%B2%E0%AF%8D,இசைப்பாடல்,இசைப்பாடல்
8,/wiki/%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%87%E0%AE%B0%E0%AE%B1%E0%AE%BF%E0%AE%9E%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D,இசைப்பேரறிஞர்கள்,இசைப்பேரறிஞர்கள்
9,/wiki/%E0%AE%87%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF_%E0%AE%95%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,இஞ்சிக்குடி கந்தஸ்வாமி பிள்ளை,இஞ்சிக்குடி கந்தஸ்வாமி பிள்ளை
