,href,Text content,layer3
0,/wiki/%E0%AE%88.%E0%AE%B5%E0%AF%86._%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF_%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%AE%E0%AE%B2%E0%AE%BE%E0%AE%AF%E0%AE%BE_%E0%AE%B5%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%88,ஈ.வெ. ராமசாமி பெரியாரின் மலாயா வருகை,ஈ.வெ. ராமசாமி பெரியாரின் மலாயா வருகை
1,/wiki/%E0%AE%88%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%82%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%AE%E0%AF%8D,ஈஞ்சன் கூட்டம்,ஈஞ்சன் கூட்டம்
2,/wiki/%E0%AE%88%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%8B_%E0%AE%85%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,ஈப்போ அரவிந்தன்,ஈப்போ அரவிந்தன்
3,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%95%E0%AF%87%E0%AE%9A%E0%AE%B0%E0%AE%BF,ஈழகேசரி,ஈழகேசரி
4,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%95%E0%AF%87%E0%AE%9A%E0%AE%B0%E0%AE%BF_%E0%AE%B2%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%A9%E0%AF%8D,ஈழகேசரி லண்டன்,ஈழகேசரி லண்டன்
5,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%87%E0%AE%B5%E0%AE%BF,ஈழதேவி,ஈழதேவி
6,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AF%8D_%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D_%E0%AE%87%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%8D,ஈழத்தில் தமிழ் இலக்கியம்,ஈழத்தில் தமிழ் இலக்கியம்
7,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81_%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AE%95%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AF%82%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AE%B2%E0%AF%88%E0%AE%9E%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D_-_%E0%AE%AA%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%B2%E0%AF%8D_%E0%AE%A4%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81,ஈழத்து நாடகக் கூத்துக் கலைஞர்கள் - பட்டியல் தொகுப்பு,ஈழத்து நாடகக் கூத்துக் கலைஞர்கள் - பட்டியல் தொகுப்பு
8,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81_%E0%AE%AE%E0%AF%81%E0%AE%B8%E0%AF%8D%E0%AE%B2%E0%AE%BF%E0%AE%AE%E0%AF%8D_%E0%AE%86%E0%AE%B3%E0%AF%81%E0%AE%AE%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AF%8D_%E0%AE%AA%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%B2%E0%AF%8D,ஈழத்து முஸ்லிம் ஆளுமைகள் பட்டியல்,ஈழத்து முஸ்லிம் ஆளுமைகள் பட்டியல்
9,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%82%E0%AE%A4%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%87%E0%AE%B5%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஈழத்துப் பூதந்தேவனார்,ஈழத்துப் பூதந்தேவனார்
10,/wiki/%E0%AE%88%E0%AE%B4%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AF%81,ஈழநாடு,ஈழநாடு
