,href,Text content,layer3
0,/wiki/%E0%AE%89.%E0%AE%B0%E0%AE%BE._%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,உ.ரா. சாமிநாதபிள்ளை,உ.ரா. சாமிநாதபிள்ளை
1,/wiki/%E0%AE%89.%E0%AE%B5%E0%AF%87.%E0%AE%9A%E0%AE%BE_%E0%AE%A8%E0%AF%82%E0%AE%B2%E0%AE%95%E0%AE%AE%E0%AF%8D,உ.வே.சா நூலகம்,உ.வே.சா நூலகம்
2,/wiki/%E0%AE%89.%E0%AE%B5%E0%AF%87.%E0%AE%9A%E0%AE%BE_%E0%AE%B5%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AF%81,உ.வே.சா விருது,உ.வே.சா விருது
3,/wiki/%E0%AE%89.%E0%AE%B5%E0%AF%87.%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D,உ.வே.சாமிநாதையர்,உ.வே.சாமிநாதையர்
4,/wiki/%E0%AE%89.%E0%AE%B5%E0%AF%87.%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B5%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%88_%E0%AE%86%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%B5%E0%AE%B0%E0%AE%BF%E0%AE%9A%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D,உ.வே.சாமிநாதையர் வாழ்க்கை ஆண்டுவரிசையில்,உ.வே.சாமிநாதையர் வாழ்க்கை ஆண்டுவரிசையில்
5,/wiki/%E0%AE%89%E0%AE%95%E0%AE%BE%E0%AE%AF%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF_%E0%AE%95%E0%AE%BF%E0%AE%B4%E0%AE%BE%E0%AE%B0%E0%AF%8D,உகாய்க்குடி கிழார்,உகாய்க்குடி கிழார்
6,/wiki/%E0%AE%89%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%B0%E0%AE%B2%E0%AF%8D,உங்கள் குரல்,உங்கள் குரல்
7,/wiki/%E0%AE%89%E0%AE%9F%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%88,உடுக்கை,உடுக்கை
8,/wiki/%E0%AE%89%E0%AE%9F%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%88%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81,உடுக்கைப் பாட்டு,உடுக்கைப் பாட்டு
9,/wiki/%E0%AE%89%E0%AE%9F%E0%AF%88%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,உடையார்,உடையார்
