,href,Text content,layer3
0,/wiki/%E0%AE%8A%E0%AE%9A%E0%AE%B2%E0%AF%8D_(%E0%AE%9A%E0%AE%BF%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%BF%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%8D),ஊசல் (சிற்றிலக்கியம்),ஊசல் (சிற்றிலக்கியம்)
1,/wiki/%E0%AE%8A%E0%AE%9A%E0%AF%8B%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%88_%E0%AE%95%E0%AE%A4%E0%AF%88,ஊசோன் பாலந்தை கதை,ஊசோன் பாலந்தை கதை
2,/wiki/%E0%AE%8A%E0%AE%A3%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%88,ஊண்பித்தை,ஊண்பித்தை
3,/wiki/%E0%AE%8A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%9F%E0%AF%81_%E0%AE%B5%E0%AF%87%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%9F_%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D,ஊத்துக்காடு வேங்கட சுப்பையர்,ஊத்துக்காடு வேங்கட சுப்பையர்
4,/wiki/%E0%AE%8A%E0%AE%B0%E0%AE%BF%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BF%E0%AE%9A%E0%AF%88,ஊரின்னிசை,ஊரின்னிசை
5,/wiki/%E0%AE%8A%E0%AE%B0%E0%AF%8D_%E0%AE%A8%E0%AF%87%E0%AE%B0%E0%AE%BF%E0%AE%9A%E0%AF%88,ஊர் நேரிசை,ஊர் நேரிசை
6,/wiki/%E0%AE%8A%E0%AE%B0%E0%AF%8D_%E0%AE%B5%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%AA%E0%AE%BE,ஊர் வெண்பா,ஊர் வெண்பா
7,/wiki/%E0%AE%8A%E0%AE%B0%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%BF,ஊர்சுற்றி,ஊர்சுற்றி
8,/wiki/%E0%AE%8A%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AF%81%E0%AE%AE%E0%AE%B2%E0%AF%88_%E0%AE%87%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AE%AF%E0%AE%BE%E0%AE%B2%E0%AE%AF_%E0%AE%AE%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AE%AA%E0%AF%8D%E0%AE%AA_%E0%AE%A4%E0%AF%87%E0%AE%B5%E0%AE%B0%E0%AF%8D,ஊற்றுமலை இருதயாலய மருதப்ப தேவர்,ஊற்றுமலை இருதயாலய மருதப்ப தேவர்
9,/wiki/%E0%AE%8A%E0%AE%B4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_(%E0%AE%87%E0%AE%A4%E0%AE%B4%E0%AF%8D),ஊழியன் (இதழ்),ஊழியன் (இதழ்)
