,href,Text content,layer3
0,/wiki/%E0%AE%8E%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE_%E0%AE%87%E0%AE%B7%E0%AE%BF%E0%AE%9F%E0%AE%BE,எகுமா இஷிடா,எகுமா இஷிடா
1,/wiki/%E0%AE%8E%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%82%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81,எக்காளக்கூத்து,எக்காளக்கூத்து
2,/wiki/%E0%AE%8E%E0%AE%9A%E0%AF%8D.%E0%AE%8F._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,எச்.ஏ. கிருஷ்ண பிள்ளை,எச்.ஏ. கிருஷ்ண பிள்ளை
3,/wiki/%E0%AE%8E%E0%AE%9A%E0%AF%8D.%E0%AE%8F.%E0%AE%AA%E0%AE%BE%E0%AE%AA%E0%AF%8D%E0%AE%B2%E0%AE%BF,எச்.ஏ.பாப்லி,எச்.ஏ.பாப்லி
4,/wiki/%E0%AE%8E%E0%AE%9A%E0%AF%8D.%E0%AE%A8%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88%E0%AE%AF%E0%AE%BE,எச்.நெல்லையா,எச்.நெல்லையா
5,/wiki/%E0%AE%8E%E0%AE%9A%E0%AF%8D.%E0%AE%B9%E0%AE%BE%E0%AE%AE%E0%AF%80%E0%AE%AE%E0%AF%8D_%E0%AE%AE%E0%AF%81%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%AA%E0%AE%BE,எச்.ஹாமீம் முஸ்தபா,எச்.ஹாமீம் முஸ்தபா
6,/wiki/%E0%AE%8E%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D_%E0%AE%AE%E0%AE%A4%E0%AE%AF%E0%AE%BE%E0%AE%A9%E0%AF%88(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),எட்டுத்திக்கும் மதயானை(நாவல்),எட்டுத்திக்கும் மதயானை(நாவல்)
7,/wiki/%E0%AE%8E%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%8A%E0%AE%95%E0%AF%88,எட்டுத்தொகை,எட்டுத்தொகை
8,/wiki/%E0%AE%8E%E0%AE%A3%E0%AF%8D%E0%AE%9A%E0%AF%86%E0%AE%AF%E0%AF%8D%E0%AE%AF%E0%AF%81%E0%AE%B3%E0%AF%8D,எண்செய்யுள்,எண்செய்யுள்
9,/wiki/%E0%AE%8E%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D_%E0%AE%AE%E0%AE%BE%E0%AE%B1%E0%AE%B2%E0%AE%BE%E0%AE%AE%E0%AF%8D,எண்ணங்கள் மாறலாம்,எண்ணங்கள் மாறலாம்
