,href,Text content,layer3
0,/wiki/%E0%AE%8F._%E0%AE%95%E0%AF%87._%E0%AE%9A%E0%AF%86%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF_%E0%AE%86%E0%AE%B5%E0%AE%A3%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%9F%E0%AE%AE%E0%AF%8D,ஏ. கே. செட்டியாரின் காந்தி ஆவணப் படம்,ஏ. கே. செட்டியாரின் காந்தி ஆவணப் படம்
1,/wiki/%E0%AE%8F._%E0%AE%95%E0%AF%87._%E0%AE%9A%E0%AF%86%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஏ. கே. செட்டியார்,ஏ. கே. செட்டியார்
2,/wiki/%E0%AE%8F._%E0%AE%A4%E0%AF%87%E0%AE%B5%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%A9%E0%AF%8D,ஏ. தேவராஜன்,ஏ. தேவராஜன்
3,/wiki/%E0%AE%8F._%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ஏ. பெரியதம்பிப்பிள்ளை,ஏ. பெரியதம்பிப்பிள்ளை
4,/wiki/%E0%AE%8F.%E0%AE%8E%E0%AE%B8%E0%AF%8D.%E0%AE%B0%E0%AE%BE%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AF%8D,ஏ.எஸ்.ராகவன்,ஏ.எஸ்.ராகவன்
5,/wiki/%E0%AE%8F.%E0%AE%8F%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%A9%E0%AF%8D,ஏ.ஏகாம்பரநாதன்,ஏ.ஏகாம்பரநாதன்
6,/wiki/%E0%AE%8F.%E0%AE%9F%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%AF%E0%AF%82.%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%AA%E0%AF%8D,ஏ.டபிள்யூ.பிரப்,ஏ.டபிள்யூ.பிரப்
7,/wiki/%E0%AE%8F.%E0%AE%AA%E0%AE%BF.%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D,ஏ.பி.பெரியசாமி புலவர்,ஏ.பி.பெரியசாமி புலவர்
8,/wiki/%E0%AE%8F.%E0%AE%AA%E0%AE%BF.%E0%AE%B5%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%AF%E0%AE%95%E0%AE%AE%E0%AF%8D,ஏ.பி.வள்ளிநாயகம்,ஏ.பி.வள்ளிநாயகம்
9,/wiki/%E0%AE%8F%E0%AE%95%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B5%E0%AE%BE%E0%AE%A3%E0%AE%A9%E0%AF%8D,ஏகம்பவாணன்,ஏகம்பவாணன்
10,/wiki/%E0%AE%8F%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%A4%E0%AF%8B%E0%AE%B4%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D,ஏசுவின் தோழர்கள்,ஏசுவின் தோழர்கள்
11,/wiki/%E0%AE%8F%E0%AE%A9%E0%AE%BE%E0%AE%A4%E0%AE%BF_%E0%AE%A8%E0%AF%86%E0%AE%9F%E0%AF%81%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஏனாதி நெடுங்கண்ணனார்,ஏனாதி நெடுங்கண்ணனார்
12,/wiki/%E0%AE%8F%E0%AE%B0%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D,ஏரம்பையர்,ஏரம்பையர்
13,/wiki/%E0%AE%8F%E0%AE%B0%E0%AF%86%E0%AE%B4%E0%AF%81%E0%AE%AA%E0%AE%A4%E0%AF%81,ஏரெழுபது,ஏரெழுபது
14,/wiki/%E0%AE%8F%E0%AE%B0%E0%AF%8D%E0%AE%A9%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%B0%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%A9%E0%AF%8D,ஏர்னஸ்ட் கோர்டான்,ஏர்னஸ்ட் கோர்டான்
15,/wiki/%E0%AE%8F%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AE%BE%E0%AE%9F%E0%AE%BF_%E0%AE%A4%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%BE,ஏர்வாடி தர்கா,ஏர்வாடி தர்கா
16,/wiki/%E0%AE%8F%E0%AE%B1%E0%AE%BE%E0%AE%B5%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%9A%E0%AE%BF%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%88_%E0%AE%85%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஏறாவூர் சின்னத்துரை அண்ணாவியார்,ஏறாவூர் சின்னத்துரை அண்ணாவியார்
17,/wiki/%E0%AE%8F%E0%AE%B2%E0%AE%BE%E0%AE%A4%E0%AE%BF,ஏலாதி,ஏலாதி
18,/wiki/%E0%AE%8F%E0%AE%B4%E0%AE%BE%E0%AE%AE%E0%AF%8D_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%AE%E0%AF%8D_(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),ஏழாம் உலகம் (நாவல்),ஏழாம் உலகம் (நாவல்)
