,href,Text content,layer3
0,/wiki/%E0%AE%90._%E0%AE%87%E0%AE%B3%E0%AE%B5%E0%AE%B4%E0%AE%95%E0%AF%81,ஐ. இளவழகு,ஐ. இளவழகு
1,/wiki/%E0%AE%90._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AE%BE,ஐ. கிருத்திகா,ஐ. கிருத்திகா
2,/wiki/%E0%AE%90.%E0%AE%9A%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,ஐ.சாந்தன்,ஐ.சாந்தன்
3,/wiki/%E0%AE%90%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%B1%E0%AF%81%E0%AE%A8%E0%AF%82%E0%AE%B1%E0%AF%81,ஐங்குறுநூறு,ஐங்குறுநூறு
4,/wiki/%E0%AE%90%E0%AE%9A%E0%AE%95%E0%AF%8D_%E0%AE%85%E0%AE%B0%E0%AF%81%E0%AE%AE%E0%AF%88%E0%AE%B0%E0%AE%BE%E0%AE%9A%E0%AE%A9%E0%AF%8D,ஐசக் அருமைராசன்,ஐசக் அருமைராசன்
5,/wiki/%E0%AE%90%E0%AE%9A%E0%AE%95%E0%AF%8D_%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AF%88%E0%AE%AF%E0%AE%BE,ஐசக் தம்பையா,ஐசக் தம்பையா
6,/wiki/%E0%AE%90%E0%AE%9A%E0%AE%95%E0%AF%8D_%E0%AE%B9%E0%AF%86%E0%AE%A9%E0%AF%8D%E0%AE%B1%E0%AE%BF_%E0%AE%B9%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B0%E0%AF%8D,ஐசக் ஹென்றி ஹக்கர்,ஐசக் ஹென்றி ஹக்கர்
7,/wiki/%E0%AE%90%E0%AE%9F%E0%AE%BE_%E0%AE%B8%E0%AF%8D%E0%AE%95%E0%AE%9F%E0%AE%B0%E0%AF%8D,ஐடா ஸ்கடர்,ஐடா ஸ்கடர்
8,/wiki/%E0%AE%90%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A3%E0%AF%88_%E0%AE%8E%E0%AE%B4%E0%AF%81%E0%AE%AA%E0%AE%A4%E0%AF%81,ஐந்திணை எழுபது,ஐந்திணை எழுபது
9,/wiki/%E0%AE%90%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A3%E0%AF%88_%E0%AE%90%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%A4%E0%AF%81,ஐந்திணை ஐம்பது,ஐந்திணை ஐம்பது
10,/wiki/%E0%AE%90%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A3%E0%AF%88%E0%AE%9A%E0%AF%8D_%E0%AE%9A%E0%AF%86%E0%AE%AF%E0%AF%8D%E0%AE%AF%E0%AF%81%E0%AE%B3%E0%AF%8D,ஐந்திணைச் செய்யுள்,ஐந்திணைச் செய்யுள்
11,/wiki/%E0%AE%90%E0%AE%AF%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஐயம்பெருமாள் கோனார்,ஐயம்பெருமாள் கோனார்
12,/wiki/%E0%AE%90%E0%AE%AF%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%AE%E0%AF%82%E0%AE%B2%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%B4%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஐயூர் மூலங்கிழார்,ஐயூர் மூலங்கிழார்
13,/wiki/%E0%AE%90%E0%AE%B0%E0%AE%BE%E0%AE%B5%E0%AE%A4%E0%AE%AE%E0%AF%8D_(%E0%AE%8E%E0%AE%B4%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B3%E0%AE%B0%E0%AF%8D),ஐராவதம் (எழுத்தாளர்),ஐராவதம் (எழுத்தாளர்)
