,href,Text content,layer3
0,/wiki/%E0%AE%92%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AE%BE%E0%AE%9A%E0%AE%BE%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஒக்கூர்மாசாத்தியார்,ஒக்கூர்மாசாத்தியார்
1,/wiki/%E0%AE%92%E0%AE%9A%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%B0%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%A4%E0%AE%B0%E0%AF%8D,ஒசிங்ரன் பண்டிதர்,ஒசிங்ரன் பண்டிதர்
2,/wiki/%E0%AE%92%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AE%95%E0%AE%AE%E0%AF%8D,ஒட்ட நாடகம்,ஒட்ட நாடகம்
3,/wiki/%E0%AE%92%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%82%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AF%8D,ஒட்டக்கூத்தர்,ஒட்டக்கூத்தர்
4,/wiki/%E0%AE%92%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%86%E0%AE%9F%E0%AE%BF,ஒட்டுச்செடி,ஒட்டுச்செடி
5,/wiki/%E0%AE%92%E0%AE%A4%E0%AE%B2%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AE%BF_%E0%AE%85%E0%AE%A3%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%A4_%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%B0%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D,ஒதலபாடி அணியாத அழகர் கோயில்,ஒதலபாடி அணியாத அழகர் கோயில்
6,/wiki/%E0%AE%92%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BF,ஒயில் கும்மி,ஒயில் கும்மி
7,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%95%E0%AE%9F%E0%AE%B2%E0%AF%8B%E0%AE%B0_%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%A4%E0%AF%88(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),ஒரு கடலோர கிராமத்தின் கதை(நாவல்),ஒரு கடலோர கிராமத்தின் கதை(நாவல்)
8,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%AA%E0%AF%81%E0%AE%B3%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%A4%E0%AF%88,ஒரு புளியமரத்தின் கதை,ஒரு புளியமரத்தின் கதை
9,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%AA%E0%AF%88%E0%AE%9A%E0%AE%BE_%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AE%A9%E0%AF%8D,ஒரு பைசா தமிழன்,ஒரு பைசா தமிழன்
10,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%AE%E0%AE%A9%E0%AE%BF%E0%AE%A4%E0%AE%A9%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%A4%E0%AF%88,ஒரு மனிதனின் கதை,ஒரு மனிதனின் கதை
11,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%AE%E0%AE%A9%E0%AE%BF%E0%AE%A4%E0%AE%A9%E0%AF%8D_%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%B5%E0%AF%80%E0%AE%9F%E0%AF%81_%E0%AE%92%E0%AE%B0%E0%AF%81_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%AE%E0%AF%8D,ஒரு மனிதன் ஒரு வீடு ஒரு உலகம்,ஒரு மனிதன் ஒரு வீடு ஒரு உலகம்
12,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AE%BE%E0%AE%B3%E0%AF%8D_(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),ஒருநாள் (நாவல்),ஒருநாள் (நாவல்)
13,/wiki/%E0%AE%92%E0%AE%B0%E0%AF%81%E0%AE%AA%E0%AE%BE_%E0%AE%92%E0%AE%B0%E0%AF%81%E0%AE%AA%E0%AE%A4%E0%AF%81,ஒருபா ஒருபது,ஒருபா ஒருபது
14,/wiki/%E0%AE%92%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AE%A9%E0%AF%8D,ஒற்றன்,ஒற்றன்
15,/wiki/%E0%AE%92%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%A4%E0%AE%BF,ஒலியந்தாதி,ஒலியந்தாதி
16,/wiki/%E0%AE%92%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88%E0%AE%AF%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%A4%E0%AE%A8%E0%AF%8D%E0%AE%A4_%E0%AE%AA%E0%AF%82%E0%AE%A4%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D,ஒல்லையூர் தந்த பூதப்பாண்டியன்,ஒல்லையூர் தந்த பூதப்பாண்டியன்
17,/wiki/%E0%AE%92%E0%AE%B4%E0%AF%81%E0%AE%95%E0%AE%BF%E0%AE%A9%E0%AE%9A%E0%AF%87%E0%AE%B0%E0%AE%BF_%E0%AE%9A%E0%AF%8B%E0%AE%B4%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%BE_%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D,ஒழுகினசேரி சோழராஜா கோவில்,ஒழுகினசேரி சோழராஜா கோவில்
