,href,Text content,layer3
0,/wiki/%E0%AE%9C.%E0%AE%B0%E0%AE%BE.%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,ஜ.ரா.கிருஷ்ணமூர்த்தி,ஜ.ரா.கிருஷ்ணமூர்த்தி
1,/wiki/%E0%AE%9C.%E0%AE%B0%E0%AE%BE.%E0%AE%9A%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AF%87%E0%AE%9A%E0%AE%A9%E0%AF%8D,ஜ.ரா.சுந்தரேசன்,ஜ.ரா.சுந்தரேசன்
2,/wiki/%E0%AE%9C%E0%AE%95%E0%AE%A9%E0%AF%8D%E0%AE%AE%E0%AF%8B%E0%AE%95%E0%AE%BF%E0%AE%A9%E0%AE%BF,ஜகன்மோகினி,ஜகன்மோகினி
3,/wiki/%E0%AE%9C%E0%AE%95%E0%AF%82%E0%AE%A9%E0%AF%8D,ஜகூன்,ஜகூன்
4,/wiki/%E0%AE%9C%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE_%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%B0%E0%AE%AE%E0%AF%8D,ஜங்கம பண்டாரம்,ஜங்கம பண்டாரம்
5,/wiki/%E0%AE%9C%E0%AE%9F%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),ஜடாவல்லவர்(நாவல்),ஜடாவல்லவர்(நாவல்)
6,/wiki/%E0%AE%9C%E0%AE%A9%E0%AE%A8%E0%AE%BE%E0%AE%AF%E0%AE%95%E0%AE%9A%E0%AF%8D_%E0%AE%9A%E0%AF%8B%E0%AE%A4%E0%AE%A9%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B2%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D_(%E0%AE%95%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%B0%E0%AF%88%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81),ஜனநாயகச் சோதனைச்சாலையில் (கட்டுரைத் தொகுப்பு),ஜனநாயகச் சோதனைச்சாலையில் (கட்டுரைத் தொகுப்பு)
7,/wiki/%E0%AE%9C%E0%AE%A9%E0%AE%BE%E0%AE%AA%E0%AE%BF%E0%AE%AE%E0%AE%BE%E0%AE%A9%E0%AE%BF,ஜனாபிமானி,ஜனாபிமானி
8,/wiki/%E0%AE%9C%E0%AE%A9%E0%AF%8B%E0%AE%AA%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%BF,ஜனோபகாரி,ஜனோபகாரி
9,/wiki/%E0%AE%9C%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E2%80%98%E0%AE%B2%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B2%E0%AF%8D%E2%80%99_%E0%AE%8F%E0%AE%B4%E0%AF%81_%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D,ஜப்பானியர் ‘லாக்கப்பில்’ ஏழு தினங்கள்,ஜப்பானியர் ‘லாக்கப்பில்’ ஏழு தினங்கள்
