,href,Text content,layer3
0,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A8%E0%AE%BF,ஞாநி,ஞாநி
1,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9_%E0%AE%AA%E0%AF%88%E0%AE%B0%E0%AE%B5%E0%AE%B0%E0%AF%8D,ஞான பைரவர்,ஞான பைரவர்
2,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%82%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D,ஞானக்கூத்தன்,ஞானக்கூத்தன்
3,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D_(%E0%AE%87%E0%AE%A4%E0%AE%B4%E0%AF%8D),ஞானசம்பந்தம் (இதழ்),ஞானசம்பந்தம் (இதழ்)
4,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AF%8D,ஞானசித்தர்,ஞானசித்தர்
5,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AF%82%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D,ஞானசூரியன்,ஞானசூரியன்
6,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AA%E0%AF%8B%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%BF,ஞானபோதினி,ஞானபோதினி
7,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%9A_%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D,ஞானப்பிரகாச சுவாமிகள்,ஞானப்பிரகாச சுவாமிகள்
8,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%9A_%E0%AE%A4%E0%AF%87%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D,ஞானப்பிரகாச தேசிகர்,ஞானப்பிரகாச தேசிகர்
9,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%9A_%E0%AE%B5%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AE%B2%E0%AE%BE%E0%AE%B0%E0%AF%8D,ஞானப்பிரகாச வள்ளலார்,ஞானப்பிரகாச வள்ளலார்
10,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%9A%E0%AE%B0%E0%AF%8D,ஞானப்பிரகாசர்,ஞானப்பிரகாசர்
11,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%B0%E0%AE%A4%E0%AE%AE%E0%AF%8D,ஞானரதம்,ஞானரதம்
12,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D,ஞானாமிர்தம்,ஞானாமிர்தம்
13,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BE%E0%AE%B2%E0%AE%AF%E0%AE%BE_%E0%AE%86%E0%AE%AF%E0%AF%8D%E0%AE%B5%E0%AF%81_%E0%AE%A8%E0%AF%82%E0%AE%B2%E0%AE%95%E0%AE%AE%E0%AF%8D,ஞானாலயா ஆய்வு நூலகம்,ஞானாலயா ஆய்வு நூலகம்
14,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BE%E0%AE%B2%E0%AE%AF%E0%AE%BE_%E0%AE%AA%E0%AE%BE._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,ஞானாலயா பா. கிருஷ்ணமூர்த்தி,ஞானாலயா பா. கிருஷ்ணமூர்த்தி
15,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BF,ஞானி,ஞானி
16,/wiki/%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D_%E0%AE%85%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D,ஞானியார் அடிகள்,ஞானியார் அடிகள்
