,href,Text content,layer3
0,/wiki/%E0%AE%9F%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%AF%E0%AF%82.%E0%AE%9F%E0%AE%BF._%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%A9%E0%AF%8D,டபிள்யூ.டி. சத்தியநாதன்,டபிள்யூ.டி. சத்தியநாதன்
1,/wiki/%E0%AE%9F%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%AF%E0%AF%82.%E0%AE%9F%E0%AE%BF.%E0%AE%8E%E0%AE%AE%E0%AF%8D.%E0%AE%95%E0%AF%8D%E0%AE%B3%E0%AF%82%E0%AE%B8%E0%AF%8D,டபிள்யூ.டி.எம்.க்ளூஸ்,டபிள்யூ.டி.எம்.க்ளூஸ்
2,/wiki/%E0%AE%9F%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%99%E0%AF%8D_%E0%AE%95%E0%AF%82%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81,டப்பாங் கூத்து,டப்பாங் கூத்து
3,/wiki/%E0%AE%9F%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%AE%E0%AF%8D,டமாரம்,டமாரம்
4,/wiki/%E0%AE%9F%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B0%E0%AE%BF_%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AE%BE%E0%AE%9A%E0%AE%AE%E0%AF%8D,டம்பாச்சாரி விலாசம்,டம்பாச்சாரி விலாசம்
5,/wiki/%E0%AE%9F%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%9F%E0%AE%B0%E0%AF%8D_%E0%AE%9A%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE_(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),டாக்டர் செல்லப்பா (நாவல்),டாக்டர் செல்லப்பா (நாவல்)
6,/wiki/%E0%AE%9F%E0%AE%BF._%E0%AE%8E%E0%AE%A9%E0%AF%8D._%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,டி. என். ராஜரத்தினம் பிள்ளை,டி. என். ராஜரத்தினம் பிள்ளை
7,/wiki/%E0%AE%9F%E0%AE%BF._%E0%AE%8E%E0%AE%B8%E0%AF%8D._%E0%AE%9A%E0%AF%8C%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%AE%E0%AF%8D,டி. எஸ். சௌந்தரம்,டி. எஸ். சௌந்தரம்
8,/wiki/%E0%AE%9F%E0%AE%BF._%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,டி. ராமகிருஷ்ண பிள்ளை,டி. ராமகிருஷ்ண பிள்ளை
9,/wiki/%E0%AE%9F%E0%AE%BF.%E0%AE%87%E0%AE%B2%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%A3_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,டி.இலட்சுமண பிள்ளை,டி.இலட்சுமண பிள்ளை
