,href,Text content,layer3
0,/wiki/%E0%AE%A4._%E0%AE%95%E0%AF%88%E0%AE%B2%E0%AE%BE%E0%AE%9A%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,த. கைலாசபிள்ளை,த. கைலாசபிள்ளை
1,/wiki/%E0%AE%A4._%E0%AE%A8%E0%AE%BE._%E0%AE%9A%E0%AF%87%E0%AE%A9%E0%AE%BE%E0%AE%AA%E0%AE%A4%E0%AE%BF,த. நா. சேனாபதி,த. நா. சேனாபதி
2,/wiki/%E0%AE%A4.%E0%AE%85%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AE%A9%E0%AF%8D,த.அகிலன்,த.அகிலன்
3,/wiki/%E0%AE%A4.%E0%AE%A8%E0%AE%BE.%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF,த.நா.குமாரசாமி,த.நா.குமாரசாமி
4,/wiki/%E0%AE%A4%E0%AE%95%E0%AE%BE%E0%AE%B9%E0%AE%BE%E0%AE%B8%E0%AF%8D,தகாஹாஸ்,தகாஹாஸ்
5,/wiki/%E0%AE%A4%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B0%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%AA%E0%AE%BE,தக்கர் பாபா,தக்கர் பாபா
6,/wiki/%E0%AE%A4%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%88_%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AE%A3%E0%AE%AE%E0%AF%8D,தக்கை இராமாயணம்,தக்கை இராமாயணம்
7,/wiki/%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AE%A3%E0%AE%BF_(%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81_%E0%AE%95%E0%AE%B2%E0%AF%88%E0%AE%9E%E0%AE%B0%E0%AF%8D),தங்கமணி (வில்லுப்பாட்டு கலைஞர்),தங்கமணி (வில்லுப்பாட்டு கலைஞர்)
8,/wiki/%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D,தங்கமுத்துப் புலவர்,தங்கமுத்துப் புலவர்
9,/wiki/%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AE%A4%E0%AE%BF,தங்கம்மாள் பாரதி,தங்கம்மாள் பாரதி
10,/wiki/%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AF%8D_%E0%AE%AA%E0%AF%8A%E0%AE%B1%E0%AF%8D%E0%AE%95%E0%AF%8A%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%A9%E0%AF%8D_%E0%AE%B5%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%95%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,தங்கால் பொற்கொல்லன் வெண்ணாகனார்,தங்கால் பொற்கொல்லன் வெண்ணாகனார்
11,/wiki/%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%88_%E0%AE%A8%E0%AF%87%E0%AE%9A%E0%AE%A9%E0%AF%8D,தங்கை நேசன்,தங்கை நேசன்
12,/wiki/%E0%AE%A4%E0%AE%9A%E0%AE%BE%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AF%E0%AE%B2%E0%AF%8D,தசாங்கத்தயல்,தசாங்கத்தயல்
13,/wiki/%E0%AE%A4%E0%AE%9A%E0%AE%BE%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81,தசாங்கப்பத்து,தசாங்கப்பத்து
14,/wiki/%E0%AE%A4%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AE%BF_%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%B5%E0%AF%80%E0%AE%B0%E0%AE%B0%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D,தச்சாம்பாடி மகாவீரர் கோயில்,தச்சாம்பாடி மகாவீரர் கோயில்
15,/wiki/%E0%AE%A4%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%86%E0%AE%A4%E0%AE%BF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%B0%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D,தச்சூர் ஆதிநாதர் கோயில்,தச்சூர் ஆதிநாதர் கோயில்
16,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B5%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%95%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88%E0%AE%AF%E0%AE%BE_%E0%AE%B0%E0%AF%86%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,தஞ்சாவூர் கன்னையா ரெட்டியார்,தஞ்சாவூர் கன்னையா ரெட்டியார்
17,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B5%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D,தஞ்சாவூர் கிருஷ்ணன்,தஞ்சாவூர் கிருஷ்ணன்
18,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88_%E0%AE%9A%E0%AE%B0%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%A4%E0%AE%BF_%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AF%8D_%E0%AE%A8%E0%AF%82%E0%AE%B2%E0%AE%95%E0%AE%AE%E0%AF%8D,தஞ்சை சரஸ்வதி மகால் நூலகம்,தஞ்சை சரஸ்வதி மகால் நூலகம்
19,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88_%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AF_%E0%AE%90%E0%AE%AF%E0%AE%B0%E0%AF%8D,தஞ்சை சுப்பிரமணிய ஐயர்,தஞ்சை சுப்பிரமணிய ஐயர்
20,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88_%E0%AE%A8%E0%AE%95%E0%AE%B0_%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D,தஞ்சை நகர கோவில்கள்,தஞ்சை நகர கோவில்கள்
21,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%B7%E0%AF%8D,தஞ்சை பிரகாஷ்,தஞ்சை பிரகாஷ்
22,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88_%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-_%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AF%87%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%B0%E0%AE%AE%E0%AF%8D,தஞ்சை பெரியகோயில்- இராஜராஜேச்சரம்,தஞ்சை பெரியகோயில்- இராஜராஜேச்சரம்
23,/wiki/%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AF%88%E0%AE%B5%E0%AE%BE%E0%AE%A3%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AF%88,தஞ்சைவாணன் கோவை,தஞ்சைவாணன் கோவை
24,/wiki/%E0%AE%A4%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%95%E0%AE%AE%E0%AE%BE%E0%AE%B2%E0%AF%88,தண்டகமாலை,தண்டகமாலை
25,/wiki/%E0%AE%A4%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%B2%E0%AE%AE%E0%AF%8D_%E0%AE%9A%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B0%E0%AE%A8%E0%AE%BE%E0%AE%B0%E0%AE%BE%E0%AE%AF%E0%AE%A3_%E0%AE%9A%E0%AE%BE%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BF,தண்டலம் சங்கரநாராயண சாஸ்திரி,தண்டலம் சங்கரநாராயண சாஸ்திரி
