,href,Text content,layer3
0,/wiki/%E0%AE%AA._%E0%AE%85%E0%AE%B0%E0%AF%81%E0%AE%B3%E0%AE%BF,ப. அருளி,ப. அருளி
1,/wiki/%E0%AE%AA._%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF_(%E0%AE%89%E0%AE%AE%E0%AF%88%E0%AE%AF%E0%AE%B5%E0%AE%A9%E0%AF%8D),ப. இராமசாமி (உமையவன்),ப. இராமசாமி (உமையவன்)
2,/wiki/%E0%AE%AA._%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D,ப. சந்திரகாந்தம்,ப. சந்திரகாந்தம்
3,/wiki/%E0%AE%AA._%E0%AE%9A%E0%AE%B0%E0%AE%B5%E0%AE%A3%E0%AE%A9%E0%AF%8D,ப. சரவணன்,ப. சரவணன்
4,/wiki/%E0%AE%AA._%E0%AE%9A%E0%AE%B0%E0%AE%B5%E0%AE%A3%E0%AE%A9%E0%AF%8D_%E0%AE%86%E0%AE%AF%E0%AF%8D%E0%AE%B5%E0%AE%BE%E0%AE%B3%E0%AE%B0%E0%AF%8D,ப. சரவணன் ஆய்வாளர்,ப. சரவணன் ஆய்வாளர்
5,/wiki/%E0%AE%AA._%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%BF,ப. சிவகாமி,ப. சிவகாமி
6,/wiki/%E0%AE%AA._%E0%AE%9C%E0%AF%80%E0%AE%B5%E0%AE%BE%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D,ப. ஜீவானந்தம்,ப. ஜீவானந்தம்
7,/wiki/%E0%AE%AA._%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D%E0%AE%AE%E0%AE%BE%E0%AE%B1%E0%AE%A9%E0%AF%8D,ப. தமிழ்மாறன்,ப. தமிழ்மாறன்
8,/wiki/%E0%AE%AA.%E0%AE%85%E0%AE%B0._%E0%AE%A8%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%80%E0%AE%B0%E0%AE%A9%E0%AF%8D,ப.அர. நக்கீரன்,ப.அர. நக்கீரன்
9,/wiki/%E0%AE%AA.%E0%AE%9A%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%AE%E0%AF%8D,ப.சிங்காரம்,ப.சிங்காரம்
10,/wiki/%E0%AE%AA.%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF,ப.முத்துக்குமாரசுவாமி,ப.முத்துக்குமாரசுவாமி
11,/wiki/%E0%AE%AA.%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF_(%E0%AE%87%E0%AE%9A%E0%AF%88%E0%AE%AF%E0%AE%B1%E0%AE%BF%E0%AE%9E%E0%AE%B0%E0%AF%8D),ப.முத்துக்குமாரசுவாமி (இசையறிஞர்),ப.முத்துக்குமாரசுவாமி (இசையறிஞர்)
12,/wiki/%E0%AE%AA.%E0%AE%AE%E0%AF%8A._%E0%AE%A4%E0%AF%88%E0%AE%B0%E0%AE%BF%E0%AE%AF_%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%A9%E0%AF%8D,ப.மொ. தைரிய நாதன்,ப.மொ. தைரிய நாதன்
