,href,Text content,layer3
0,/wiki/%E0%AE%AE._%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%88,ம. காமுத்துரை,ம. காமுத்துரை
1,/wiki/%E0%AE%AE._%E0%AE%A4%E0%AE%B5%E0%AE%9A%E0%AE%BF,ம. தவசி,ம. தவசி
2,/wiki/%E0%AE%AE._%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AE%B0%E0%AF%8D,ம. தில்லைநாதநாவலர்,ம. தில்லைநாதநாவலர்
3,/wiki/%E0%AE%AE._%E0%AE%A8%E0%AE%B5%E0%AF%80%E0%AE%A9%E0%AF%8D,ம. நவீன்,ம. நவீன்
4,/wiki/%E0%AE%AE.%E0%AE%87%E0%AE%B2%E0%AF%86._%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE,ம.இலெ. தங்கப்பா,ம.இலெ. தங்கப்பா
5,/wiki/%E0%AE%AE.%E0%AE%95._%E0%AE%B5%E0%AF%87%E0%AE%B1%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ம.க. வேற்பிள்ளை,ம.க. வேற்பிள்ளை
6,/wiki/%E0%AE%AE.%E0%AE%95.%E0%AE%B5%E0%AF%87._%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AF%8D,ம.க.வே. திருஞானசம்பந்தர்,ம.க.வே. திருஞானசம்பந்தர்
7,/wiki/%E0%AE%AE.%E0%AE%95%E0%AF%8B%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3_%E0%AE%90%E0%AE%AF%E0%AE%B0%E0%AF%8D,ம.கோபாலகிருஷ்ண ஐயர்,ம.கோபாலகிருஷ்ண ஐயர்
8,/wiki/%E0%AE%AE.%E0%AE%A4%E0%AE%BF.%E0%AE%AA%E0%AE%BE%E0%AE%A9%E0%AF%81%E0%AE%95%E0%AE%B5%E0%AE%BF,ம.தி.பானுகவி,ம.தி.பானுகவி
9,/wiki/%E0%AE%AE.%E0%AE%A8.%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF,ம.ந.ராமசாமி,ம.ந.ராமசாமி
10,/wiki/%E0%AE%AE.%E0%AE%AA%E0%AF%86.%E0%AE%B8%E0%AF%8D%E0%AE%B0%E0%AF%80%E0%AE%A9%E0%AE%BF%E0%AE%B5%E0%AE%BE%E0%AE%9A%E0%AE%A9%E0%AF%8D,ம.பெ.ஸ்ரீனிவாசன்,ம.பெ.ஸ்ரீனிவாசன்
11,/wiki/%E0%AE%AE.%E0%AE%AA%E0%AF%8A._%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%AE%E0%AF%8D,ம.பொ. சிவஞானம்,ம.பொ. சிவஞானம்
12,/wiki/%E0%AE%AE.%E0%AE%B0%E0%AE%BE.%E0%AE%AA%E0%AF%8B.%E0%AE%95%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF,ம.ரா.போ.குருசாமி,ம.ரா.போ.குருசாமி
13,/wiki/%E0%AE%AE.%E0%AE%B5%E0%AF%87._%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%AE%E0%AF%8D,ம.வே. மகாலிங்கசிவம்,ம.வே. மகாலிங்கசிவம்
14,/wiki/%E0%AE%AE.%E0%AE%B5%E0%AF%87.%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9E%E0%AE%BE%E0%AE%A9%E0%AE%9A%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,ம.வே.திருஞானசம்பந்தப் பிள்ளை,ம.வே.திருஞானசம்பந்தப் பிள்ளை
15,/wiki/%E0%AE%AE.%E0%AE%B5%E0%AF%87.%E0%AE%AA%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AE%A4%E0%AE%BF,ம.வே.பசுபதி,ம.வே.பசுபதி
16,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%9F%E0%AF%82%E0%AE%89_%E0%AE%AE%E0%AF%81%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BF%E0%AE%B2%E0%AF%88,மகடூஉ முன்னிலை,மகடூஉ முன்னிலை
17,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%A4%E0%AF%87%E0%AE%9A%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%B5%E0%AE%B4%E0%AE%BF,மகதேசன் பெருவழி,மகதேசன் பெருவழி
18,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%B0%E0%AE%AE%E0%AF%8D,மகரம்,மகரம்
19,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%B0%E0%AE%BF%E0%AE%B7%E0%AE%BF,மகரிஷி,மகரிஷி
20,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%BE_%E0%AE%B5%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A8%E0%AE%BE%E0%AE%A4%E0%AF%88%E0%AE%AF%E0%AE%B0%E0%AF%8D,மகா வைத்தியநாதையர்,மகா வைத்தியநாதையர்
21,/wiki/%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%95%E0%AE%B5%E0%AE%BF_%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D_%E0%AE%B5%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AF%81,மகாகவி பாரதியார் விருது,மகாகவி பாரதியார் விருது
