,href,Text content,layer3
0,/wiki/%E0%AE%AF.%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95_%E0%AE%9A%E0%AE%BE%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BF,ய.மகாலிங்க சாஸ்திரி,ய.மகாலிங்க சாஸ்திரி
1,/wiki/%E0%AE%AF%E0%AE%9A%E0%AF%8B%E0%AE%A4%E0%AE%B0_%E0%AE%95%E0%AE%BE%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%8D,யசோதர காவியம்,யசோதர காவியம்
2,/wiki/%E0%AE%AF%E0%AE%B5%E0%AE%A9%E0%AE%B0%E0%AE%BE%E0%AE%A3%E0%AE%BF,யவனராணி,யவனராணி
3,/wiki/%E0%AE%AF%E0%AE%B5%E0%AE%A9%E0%AE%BF%E0%AE%95%E0%AE%BE_%E0%AE%B8%E0%AF%8D%E0%AE%B0%E0%AF%80%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AF%8D,யவனிகா ஸ்ரீராம்,யவனிகா ஸ்ரீராம்
4,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BF,யாத்திரி,யாத்திரி
5,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%A9%E0%AF%8D_%E0%AE%8F%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%95%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B1%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%87%E0%AE%A9%E0%AF%8D%3F,யான் ஏன் பெண்ணாகப் பிறந்தேன்?,யான் ஏன் பெண்ணாகப் பிறந்தேன்?
6,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%B0%E0%AF%81%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AF%88,யாப்பருங்கலக்காரிகை,யாப்பருங்கலக்காரிகை
7,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%AE%E0%AE%AE%E0%AF%8D_(%E0%AE%A8%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D),யாமம் (நாவல்),யாமம் (நாவல்)
8,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B3%E0%AE%BF_%E0%AE%A8%E0%AE%95%E0%AE%B0%E0%AF%8D_(%E0%AE%A4%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B5%E0%AF%82%E0%AE%B0%E0%AF%8D),யாளி நகர் (தஞ்சாவூர்),யாளி நகர் (தஞ்சாவூர்)
9,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%A8%E0%AF%82%E0%AE%B2%E0%AF%8D,யாழ்நூல்,யாழ்நூல்
10,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%82%E0%AE%B0%E0%AE%BF,யாழ்ப்பாணக் கல்லூரி,யாழ்ப்பாணக் கல்லூரி
11,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AE%9A%E0%AF%8D_%E0%AE%9A%E0%AE%B0%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AF%8D,யாழ்ப்பாணச் சரித்திரம்,யாழ்ப்பாணச் சரித்திரம்
12,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AE%AE%E0%AF%8D_%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%BF_%E0%AE%9A%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%AE%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,யாழ்ப்பாணம் காமாட்சி சுந்தரம் பிள்ளை,யாழ்ப்பாணம் காமாட்சி சுந்தரம் பிள்ளை
13,/wiki/%E0%AE%AF%E0%AE%BE%E0%AE%B4%E0%AF%8D%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AE%AE%E0%AF%8D_%E0%AE%A4%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%A3%E0%AE%BE%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,யாழ்ப்பாணம் தட்சிணாமூர்த்தி,யாழ்ப்பாணம் தட்சிணாமூர்த்தி
14,/wiki/%E0%AE%AF%E0%AF%81%E0%AE%95%E0%AE%A9%E0%AF%8D,யுகன்,யுகன்
15,/wiki/%E0%AE%AF%E0%AF%81%E0%AE%B5%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%BE,யுவகிருஷ்ணா,யுவகிருஷ்ணா
16,/wiki/%E0%AE%AF%E0%AF%81%E0%AE%B5%E0%AE%A9%E0%AF%8D_%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%9A%E0%AF%87%E0%AE%95%E0%AE%B0%E0%AF%8D,யுவன் சந்திரசேகர்,யுவன் சந்திரசேகர்
17,/wiki/%E0%AE%AF%E0%AF%82._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%85%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,யூ. ஆர். அனந்தமூர்த்தி,யூ. ஆர். அனந்தமூர்த்தி
18,/wiki/%E0%AE%AF%E0%AF%82%E0%AE%AE%E0%AE%BE_%E0%AE%B5%E0%AE%BE%E0%AE%9A%E0%AF%81%E0%AE%95%E0%AE%BF,யூமா வாசுகி,யூமா வாசுகி
19,/wiki/%E0%AE%AF%E0%AF%86%E0%AE%B8%E0%AF%8D.%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AE%A4%E0%AE%BF,யெஸ்.பாலபாரதி,யெஸ்.பாலபாரதி
20,/wiki/%E0%AE%AF%E0%AF%8B._%E0%AE%95%E0%AE%B0%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D,யோ. கர்ணன்,யோ. கர்ணன்
