,href,Text content,layer3
0,/wiki/%E0%AE%B0._%E0%AE%A4%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B5%E0%AF%87%E0%AE%B2%E0%AE%A9%E0%AF%8D_(%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF_%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AE%A4%E0%AE%A9%E0%AF%8D),ர. தங்கவேலன் (திருச்சி பாரதன்),ர. தங்கவேலன் (திருச்சி பாரதன்)
1,/wiki/%E0%AE%B0.%E0%AE%9A%E0%AF%81.%E0%AE%A8%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D,ர.சு.நல்லபெருமாள்,ர.சு.நல்லபெருமாள்
2,/wiki/%E0%AE%B0%E0%AE%95%E0%AF%81%E0%AE%B5%E0%AE%AE%E0%AF%8D%E0%AE%9A%E0%AE%AE%E0%AF%8D,ரகுவம்சம்,ரகுவம்சம்
3,/wiki/%E0%AE%B0%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%A8%E0%AE%BE%E0%AE%AF%E0%AE%95%E0%AE%BF_%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D,ரங்கநாயகி அம்மாள்,ரங்கநாயகி அம்மாள்
4,/wiki/%E0%AE%B0%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D,ரஞ்சகுமார்,ரஞ்சகுமார்
5,/wiki/%E0%AE%B0%E0%AE%A4%E0%AE%BF,ரதி,ரதி
6,/wiki/%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D_%E0%AE%92%E0%AE%B0%E0%AF%87_%E0%AE%A8%E0%AE%BF%E0%AE%B1%E0%AE%AE%E0%AF%8D,ரத்தம் ஒரே நிறம்,ரத்தம் ஒரே நிறம்
7,/wiki/%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%9A%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D_%E0%AE%9A%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88%E0%AE%AF%E0%AE%BE,ரத்தினசிங்கம் செல்லையா,ரத்தினசிங்கம் செல்லையா
8,/wiki/%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A9%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%BE,ரத்னபாலா,ரத்னபாலா
9,/wiki/%E0%AE%B0%E0%AE%AE%E0%AE%A3_%E0%AE%AE%E0%AE%95%E0%AE%B0%E0%AE%BF%E0%AE%B7%E0%AE%BF,ரமண மகரிஷி,ரமண மகரிஷி
10,/wiki/%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF_%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%A9%E0%AF%8D,ரமணி சந்திரன்,ரமணி சந்திரன்
11,/wiki/%E0%AE%B0%E0%AE%AE%E0%AE%BE_%E0%AE%9A%E0%AF%81%E0%AE%B0%E0%AF%87%E0%AE%B7%E0%AF%8D,ரமா சுரேஷ்,ரமா சுரேஷ்
12,/wiki/%E0%AE%B0%E0%AE%AE%E0%AF%87%E0%AE%B7%E0%AF%8D_%E0%AE%B0%E0%AE%95%E0%AF%8D%E0%AE%9A%E0%AE%A9%E0%AF%8D,ரமேஷ் ரக்சன்,ரமேஷ் ரக்சன்
13,/wiki/%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D,ரவிசுப்பிரமணியன்,ரவிசுப்பிரமணியன்
14,/wiki/%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AE%BE,ரவிச்சந்திரிகா,ரவிச்சந்திரிகா
15,/wiki/%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%B7%E0%AF%8D,ரவிபிரகாஷ்,ரவிபிரகாஷ்
16,/wiki/%E0%AE%B0%E0%AE%B8%E0%AE%BF%E0%AE%95%E0%AE%A9%E0%AF%8D,ரஸிகன்,ரஸிகன்
17,/wiki/%E0%AE%B0%E0%AE%BE._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%A4%E0%AE%B0%E0%AE%A9%E0%AF%8D,ரா. கிரிதரன்,ரா. கிரிதரன்
18,/wiki/%E0%AE%B0%E0%AE%BE._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AF%88%E0%AE%AF%E0%AE%BE,ரா. கிருஷ்ணையா,ரா. கிருஷ்ணையா
19,/wiki/%E0%AE%B0%E0%AE%BE._%E0%AE%9A%E0%AF%80%E0%AE%A9%E0%AE%BF%E0%AE%B5%E0%AE%BE%E0%AE%9A%E0%AE%A9%E0%AF%8D,ரா. சீனிவாசன்,ரா. சீனிவாசன்
