,href,Text content,layer3
0,/wiki/%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%B7%E0%AF%8D%E0%AE%AE%E0%AE%BF,லக்ஷ்மி,லக்ஷ்மி
1,/wiki/%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%B7%E0%AF%8D%E0%AE%AE%E0%AE%BF_%E0%AE%9A%E0%AE%B0%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D,லக்ஷ்மி சரவணகுமார்,லக்ஷ்மி சரவணகுமார்
2,/wiki/%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%B7%E0%AF%8D%E0%AE%AE%E0%AE%BF_%E0%AE%9A%E0%AF%87%E0%AE%95%E0%AE%B2%E0%AF%8D,லக்ஷ்மி சேகல்,லக்ஷ்மி சேகல்
3,/wiki/%E0%AE%B2%E0%AE%95%E0%AF%8D%E0%AE%B7%E0%AF%8D%E0%AE%AE%E0%AE%BF_%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%B5%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D,லக்ஷ்மி மணிவண்ணன்,லக்ஷ்மி மணிவண்ணன்
4,/wiki/%E0%AE%B2%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%9F%E0%AF%8D_%E0%AE%A8%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B0%E0%AF%88,லங்காட் நதிக்கரை,லங்காட் நதிக்கரை
5,/wiki/%E0%AE%B2%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%BF_%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,லட்சுமி கிருஷ்ணமூர்த்தி,லட்சுமி கிருஷ்ணமூர்த்தி
6,/wiki/%E0%AE%B2%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%BF_%E0%AE%B9%E0%AF%8B%E0%AE%AE%E0%AF%8D%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AF%8D%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AF%8D,லட்சுமி ஹோம்ஸ்ட்ராம்,லட்சுமி ஹோம்ஸ்ட்ராம்
7,/wiki/%E0%AE%B2%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%BF%E0%AE%95%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%8A%E0%AE%B2%E0%AF%88_%E0%AE%B5%E0%AE%B4%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81,லட்சுமிகாந்தன் கொலை வழக்கு,லட்சுமிகாந்தன் கொலை வழக்கு
8,/wiki/%E0%AE%B2%E0%AE%A4%E0%AE%BE,லதா,லதா
9,/wiki/%E0%AE%B2%E0%AE%B2%E0%AE%BF%E0%AE%A4%E0%AE%BE%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%95%E0%AE%BE_%E0%AE%85%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AF%8D%E0%AE%9C%E0%AE%A9%E0%AE%AE%E0%AF%8D,லலிதாம்பிகா அந்தர்ஜனம்,லலிதாம்பிகா அந்தர்ஜனம்
10,/wiki/%E0%AE%B2%E0%AE%B7%E0%AF%8D%E0%AE%AE%E0%AE%BF_%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D,லஷ்மி சிவக்குமார்,லஷ்மி சிவக்குமார்
11,/wiki/%E0%AE%B2%E0%AE%BE.%E0%AE%9A._%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D,லா.ச. ராமாமிர்தம்,லா.ச. ராமாமிர்தம்
12,/wiki/%E0%AE%B2%E0%AE%BE%E0%AE%A9%E0%AF%8B,லானோ,லானோ
13,/wiki/%E0%AE%B2%E0%AE%BE%E0%AE%B5%E0%AE%A3%E0%AF%8D%E0%AE%AF%E0%AE%BE_%E0%AE%9A%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%A9%E0%AF%8D,லாவண்யா சுந்தரராஜன்,லாவண்யா சுந்தரராஜன்
14,/wiki/%E0%AE%B2%E0%AF%80%E0%AE%A9%E0%AE%BE_%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AE%E0%AF%87%E0%AE%95%E0%AE%B2%E0%AF%88,லீனா மணிமேகலை,லீனா மணிமேகலை
15,/wiki/%E0%AE%B2%E0%AF%81%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%B5%E0%AE%BE%E0%AE%99%E0%AF%8D,லுன் பவாங்,லுன் பவாங்
16,/wiki/%E0%AE%B2%E0%AF%86%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%A3%E0%AE%A9%E0%AF%8D,லெட்சுமணன்,லெட்சுமணன்
17,/wiki/%E0%AE%B2%E0%AF%87%E0%AE%9F%E0%AE%BE%E0%AE%99%E0%AF%8D_%E0%AE%AE%E0%AE%B2%E0%AF%88_%E0%AE%87%E0%AE%B3%E0%AE%B5%E0%AE%B5%E0%AE%B0%E0%AE%9A%E0%AE%BF,லேடாங் மலை இளவவரசி,லேடாங் மலை இளவவரசி
