,href,Text content,layer3
0,/wiki/%E0%AE%B5._%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%B2%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D,வ. இராமலிங்கம்,வ. இராமலிங்கம்
1,/wiki/%E0%AE%B5._%E0%AE%95%E0%AE%A3%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,வ. கணபதிப்பிள்ளை,வ. கணபதிப்பிள்ளை
2,/wiki/%E0%AE%B5._%E0%AE%95%E0%AE%A3%E0%AE%AA%E0%AE%A4%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88_(%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AF%8B%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AF%82%E0%AE%B0%E0%AF%8D),வ. கணபதிப்பிள்ளை (புலோலியூர்),வ. கணபதிப்பிள்ளை (புலோலியூர்)
3,/wiki/%E0%AE%B5._%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%AA%E0%AF%8D_%E0%AE%AA%E0%AF%81%E0%AE%B2%E0%AE%B5%E0%AE%B0%E0%AF%8D,வ. குமாரசுவாமிப் புலவர்,வ. குமாரசுவாமிப் புலவர்
4,/wiki/%E0%AE%B5._%E0%AE%9A%E0%AE%A3%E0%AF%8D%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D,வ. சண்முகச்சட்டம்பியார்,வ. சண்முகச்சட்டம்பியார்
5,/wiki/%E0%AE%B5.%E0%AE%89._%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D,வ.உ. சிதம்பரனார்,வ.உ. சிதம்பரனார்
6,/wiki/%E0%AE%B5.%E0%AE%9A%E0%AF%81._%E0%AE%9A%E0%AF%86%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B2%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AE%BE%E0%AE%AF_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,வ.சு. செங்கல்வராய பிள்ளை,வ.சு. செங்கல்வராய பிள்ளை
7,/wiki/%E0%AE%B5.%E0%AE%9A%E0%AF%81%E0%AE%AA._%E0%AE%AE%E0%AE%BE%E0%AE%A3%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D,வ.சுப. மாணிக்கம்,வ.சுப. மாணிக்கம்
8,/wiki/%E0%AE%B5.%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%88%E0%AE%AF%E0%AE%BE_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,வ.சுப்பையா பிள்ளை,வ.சுப்பையா பிள்ளை
9,/wiki/%E0%AE%B5.%E0%AE%A4._%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AF_%E0%AE%AA%E0%AE%BF%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%88,வ.த. சுப்ரமணிய பிள்ளை,வ.த. சுப்ரமணிய பிள்ளை
